Year,Month,tran_Lat,tran_Lon,No,Day,Lat,Lon,SST.boat.,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,Tonnage.A,HP.A,Light.A,area,cluster11,cluster12,cluster13,SST,chla,SSS,dummy
2009,4,25.4,122.2,15654,19,25.48,122.12,22.6,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,22.58,NA,-0.01,0
2009,4,25.4,122.2,15666,20,25.48,122.12,22.6,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,22.58,NA,-0.01,0
2009,4,25.4,122.2,15605,9,25.48,122.12,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,10,4,1,22.58,NA,-0.01,0
2009,4,25.4,122.2,15642,18,25.48,122.12,22.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,22.58,NA,-0.01,0
2009,4,25.4,122.2,15719,24,25.48,122.12,22.6,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,2,1,1,1,5,4,5,22.58,NA,-0.01,0
2009,4,25.6,121.8,15580,4,25.5,121.88,24.6,108,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,6,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15621,16,25.57,121.79,20.6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15703,23,25.52,121.85,21.9,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15665,20,25.55,121.82,24.8,156,NA,NA,18,NA,200,NA,NA,NA,NA,NA,3,2,1,1,2,10,8,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15629,17,25.6,121.86,20.1,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15652,19,25.61,121.87,22.6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15630,17,25.58,121.86,25.2,120,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,6,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15704,23,25.55,121.88,26,132,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15716,24,25.7,121.7,22.2,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.99,0.59,-0.05,0
2009,4,25.6,121.8,15552,1,25.58,121.76,23.5,90,NA,NA,24,NA,350,NA,NA,NA,NA,NA,3,2,1,1,6,12,2,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15591,6,25.64,121.86,20,72,300,NA,50,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,11,2,12,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15641,18,25.53,121.88,26.2,102,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15678,21,25.56,121.83,25,108,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,6,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15639,18,25.66,121.7,22.2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.99,0.59,-0.05,0
2009,4,25.6,121.8,15569,3,25.58,121.82,21,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15744,26,25.5,121.89,25.2,102,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,6,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15732,25,25.56,121.82,26,240,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,8,7,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15757,27,25.5,121.82,25.4,150,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,3,7,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15702,23,25.62,121.7,22.2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.99,0.59,-0.05,0
2009,4,25.6,121.8,15620,16,25.54,121.74,22.2,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.99,0.59,-0.05,0
2009,4,25.6,121.8,15567,3,25.59,121.75,25.1,36,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,3,2,1,1,6,12,2,21.99,0.59,-0.05,1
2009,4,25.6,121.8,15613,15,25.58,121.78,22.2,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.99,0.59,-0.05,0
2009,4,25.6,121.8,15619,16,25.5,121.73,22.3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,8,7,7,21.99,0.59,-0.05,1
